|name      |spect_type  |vmag |ra_deg      |dec_deg     |bv_color|
|HIP 71860 |B1.5III     | 2.30|220.48239101|-47.38814127|  -0.154|
|HIP 71352 |B1Vn + A    | 2.33|218.87688163|-42.15774562|  -0.157|
|HIP 53910 |A1V         | 2.34|165.45996150|+56.38234478|   0.033|
|HIP 72105 |A0          | 2.35|221.24687869|+27.07417383|   0.966|
|HIP 107315|K2Ibvar     | 2.38|326.04641808|+09.87500791|   1.520|
|HIP 86670 |B1.5III     | 2.39|265.62199908|-39.02992092|  -0.171|
|HIP 2081  |K0III...    | 2.40|006.57028075|-42.30512197|   1.083|
|HIP 58001 |A0V SB      | 2.41|178.45725536|+53.69473296|   0.044|
|HIP 84012 |A2.5Va      | 2.43|257.59442659|-15.72514757|   0.059|
|HIP 113881|M2II-IIIvar | 2.44|345.94305575|+28.08245462|   1.655|
|HIP 105199|A7IV-V      | 2.45|319.64408982|+62.58545529|   0.257|
|HIP 35904 |B5Ia        | 2.45|111.02377104|-29.30311979|  -0.083|
|HIP 45941 |B2IV        | 2.47|140.52845511|-55.01069531|  -0.141|
|HIP 102488|K0III       | 2.48|311.55180091|+33.96945334|   1.021|
|HIP 113963|B9.5III     | 2.49|346.19007020|+15.20536786|  -0.002|
|HIP 14135 |M2III       | 2.54|045.56991279|+04.08992539|   1.630|
|HIP 81377 |O9.5V       | 2.54|249.28970847|-10.56715180|   0.038|
|HIP 68002 |B2.5IV      | 2.55|208.88514539|-47.28826634|  -0.176|
|HIP 78820 |B0.5V       | 2.56|241.35931206|-19.80539286|  -0.065|
|HIP 54872 |A4V         | 2.56|168.52671705|+20.52403384|   0.128|
|HIP 25985 |F0Ib        | 2.58|083.18255798|-17.82229227|   0.211|
|HIP 59803 |B8III       | 2.58|183.95194937|-17.54198370|  -0.107|
|HIP 59196 |B2IVne      | 2.58|182.08976505|-50.72240999|  -0.128|
|HIP 93506 |A3IV        | 2.60|285.65301428|-29.88011429|   0.062|
|HIP 74785 |B8V         | 2.61|229.25196591|-09.38286694|  -0.071|
|HIP 77070 |K2III       | 2.63|236.06664914|+06.42551971|   1.167|
|HIP 8903  |A5V...      | 2.64|028.65978771|+20.80829949|   0.165|
|HIP 28380 |A0p Si      | 2.65|089.93015897|+37.21276409|  -0.083|
|HIP 61359 |G5II        | 2.65|188.59680864|-23.39662306|   0.893|
|HIP 26634 |B7IV        | 2.65|084.91224975|-34.07404941|  -0.120|
|HIP 6686  |A5Vv SB     | 2.66|021.45251267|+60.23540347|   0.160|
|HIP 73273 |B2III       | 2.68|224.63314193|-43.13386699|  -0.184|
|HIP 67927 |G0IV        | 2.68|208.67131750|+18.39858742|   0.580|
|HIP 23015 |K3IIvar     | 2.69|074.24840098|+33.16613537|   1.490|
|HIP 52727 |G5III SB    | 2.69|161.69217542|-49.42012517|   0.901|
|HIP 61585 |B2IV-V      | 2.69|189.29618208|-69.13553358|  -0.176|
|HIP 85696 |B2IV        | 2.70|262.69099501|-37.29574016|  -0.179|
|HIP 35264 |K3Ib        | 2.71|109.28568399|-37.09748689|   1.616|
|HIP 97278 |K3II        | 2.72|296.56487567|+10.61326869|   1.507|
|HIP 89931 |K3III       | 2.72|275.24842337|-29.82803914|   1.380|
|HIP 80331 |G8III       | 2.73|245.99794523|+61.51407536|   0.910|
|HIP 79593 |M1III       | 2.73|243.58652601|-03.69397562|   1.584|
|HIP 52419 |B0Vp        | 2.74|160.73927802|-64.39447937|  -0.220|
|HIP 61941 |F0V+...     | 2.74|190.41667557|-01.44952231|   0.368|
|HIP 65109 |A2V         | 2.75|200.15027321|-36.71208109|   0.068|
|HIP 72622 |A3IV        | 2.75|222.71990536|-16.04161047|   0.147|
|HIP 26241 |O9III       | 2.75|083.85825475|-05.90989984|  -0.210|
|HIP 86742 |K2III       | 2.76|265.86823714|+04.56691684|   1.168|
|HIP 23875 |A3IIIvar    | 2.78|076.96264146|-05.08626282|   0.161|
|HIP 80816 |G8III       | 2.78|247.55525697|+21.48964850|   0.947|
|HIP 84345 |M5IIvar     | 2.78|258.66192687|+14.39025314|   1.164|
|HIP 59747 |B2IV        | 2.79|183.78648733|-58.74890179|  -0.193|
|HIP 85670 |G2II        | 2.79|262.60823708|+52.30135901|   0.954|
|HIP 76297 |B2IV        | 2.80|233.78525156|-41.16669497|  -0.216|
|HIP 81693 |F9IV        | 2.81|250.32282132|+31.60188695|   0.650|
|HIP 25606 |G5II        | 2.81|082.06135971|-20.75923214|   0.807|
|HIP 90496 |K1IIIb      | 2.82|276.99278955|-25.42124732|   1.025|
|HIP 81266 |B0V         | 2.82|248.97066423|-28.21596156|  -0.206|
|HIP 2021  |G2IV        | 2.82|006.41334183|-77.25503511|   0.618|
|HIP 39757 |F2mF5IIp    | 2.83|121.88625899|-24.30443677|   0.458|
|HIP 77952 |F2III       | 2.83|238.78670013|-63.42974973|   0.315|
|HIP 1067  |B2IV        | 2.83|003.30895828|+15.18361593|  -0.190|
|HIP 18246 |B1Ib        | 2.84|058.53299363|+31.88365776|   0.271|
|HIP 85258 |K3Ib-II     | 2.84|261.32498828|-55.52982397|   1.479|
|HIP 85792 |B2Vne       | 2.84|262.96050661|-49.87598159|  -0.136|
|HIP 17702 |B7III       | 2.85|056.87110065|+24.10524193|  -0.086|
|HIP 63608 |G8IIIvar    | 2.85|195.54483557|+10.95910186|   0.934|
|HIP 107556|A5mF2 (IV)  | 2.85|326.75952199|-16.12656595|   0.180|
|HIP 9236  |F0V         | 2.86|029.69113269|-61.56992444|   0.290|
|HIP 97165 |B9.5III     | 2.86|296.24350878|+45.13069195|  -0.002|
|HIP 74946 |A1V         | 2.87|229.72787007|-68.67946723|   0.014|
|HIP 110130|K3III       | 2.87|334.62574257|-60.25949486|   1.390|
|HIP 30343 |M3IIIvar    | 2.87|095.73996302|+22.51385027|   1.621|
|HIP 13847 |A4III+...   | 2.88|044.56548180|-40.30473491|   0.128|
|HIP 94141 |F2II/III    | 2.88|287.44097404|-21.02352534|   0.377|
|HIP 36188 |B8Vvar      | 2.89|111.78780121|+08.28940893|  -0.097|
