|name      |spect_type  |vmag |ra_deg      |dec_deg     |bv_color|
|HIP 116602|A2V         | 4.74|354.46223051|-45.49232134|   0.082|
|HIP 96052 |B3IV        | 4.74|292.94300436|+34.45297707|  -0.150|
|HIP 6193  |A3V         | 4.74|019.86657455|+27.26408682|   0.032|
|HIP 108874|B7IVe       | 4.74|330.82845686|-02.15533588|  -0.100|
|HIP 12413 |A2V         | 4.74|039.94966387|-42.89163328|   0.061|
|HIP 69191 |G8III       | 4.74|212.47898599|-53.43872584|   0.938|
|HIP 35020 |B8/B9V      | 4.75|108.65893526|-48.27192832|  -0.091|
|HIP 115088|K0III       | 4.75|349.65586210|+68.11141807|   0.836|
|HIP 67786 |B4IV        | 4.75|208.30228458|-31.92758624|  -0.111|
|HIP 76880 |K5III       | 4.75|235.48674445|-19.67857446|   1.574|
|HIP 76945 |B5V         | 4.75|235.67098805|-34.71033325|  -0.151|
|HIP 101612|F1III       | 4.75|308.89486744|-60.58129819|   0.291|
|HIP 57581 |K4III       | 4.75|177.06037263|-66.81487085|   1.522|
|HIP 69713 |A9V         | 4.75|214.04195627|+51.36701398|   0.236|
|HIP 70264 |G8/K1 + F/G | 4.76|215.65467485|-58.45915834|   0.795|
|HIP 106801|B2Ib        | 4.76|324.48011167|+62.08194667|   0.246|
|HIP 86486 |F3IV        | 4.76|265.09888468|-49.41515481|   0.415|
|HIP 60485 |G7III       | 4.76|186.00617625|+51.56222925|   0.877|
|HIP 63355 |M0III       | 4.76|194.73110786|+17.40936063|   1.568|
|HIP 13244 |K3III       | 4.76|042.61890350|-75.06688108|   1.337|
|HIP 13288 |K0III       | 4.76|042.75977464|-21.00397890|   0.906|
|HIP 38901 |A7III       | 4.76|119.41713237|-30.33458703|   0.151|
|HIP 55266 |A2V         | 4.76|169.78309755|+38.18572227|   0.113|
|HIP 84969 |K1III       | 4.76|260.49806157|-67.77064960|   1.194|
|HIP 65639 |K1IIICN...  | 4.76|201.86349201|-15.97363075|   1.096|
|HIP 114155|K0IIp       | 4.76|346.77807997|+25.46833959|   1.285|
|HIP 52370 |B3V         | 4.76|160.55893343|-64.46645380|  -0.139|
|HIP 27750 |K2IIvar     | 4.76|088.11017813|+01.85515790|   1.382|
|HIP 47522 |B5V         | 4.76|145.32094152|-23.59152139|  -0.117|
|HIP 67665 |K5III       | 4.76|207.94787312|+34.44431774|   1.611|
|HIP 94703 |B4IV        | 4.76|289.05433156|+21.39044277|  -0.058|
|HIP 2472  |A0V         | 4.76|007.85356695|-48.80356171|   0.018|
|HIP 29997 |A0Vn        | 4.76|094.71158258|+69.32003430|   0.025|
|HIP 56127 |K4III       | 4.77|172.57867422|-03.00345887|   1.529|
|HIP 100044|B2pe        | 4.77|304.44668519|+38.03294710|   0.377|
|HIP 98761 |K4III       | 4.77|300.88921406|-37.94049103|   1.417|
|HIP 26563 |A4V         | 4.77|084.72121589|-07.21270844|   0.139|
|HIP 62985 |M3IIIvar    | 4.77|193.58822553|-09.53894647|   1.590|
|HIP 88404 |F5V+...     | 4.77|270.77046145|-08.18025785|   0.410|
|HIP 32533 |K4III       | 4.77|101.83268467|+08.03728277|   1.396|
|HIP 101027|F3V         | 4.77|307.21509857|-17.81366828|   0.386|
|HIP 45751 |G8III       | 4.77|139.94332821|-11.97488214|   0.927|
|HIP 86201 |F5V         | 4.77|264.23787472|+68.75718933|   0.430|
|HIP 112519|K3III       | 4.77|341.87061429|+83.15371558|   1.257|
|HIP 90905 |F7Ib        | 4.77|278.14384287|+57.04561627|   0.611|
|HIP 100310|B9IV        | 4.77|305.16586145|-12.75904403|  -0.047|
|HIP 3455  |K0IIIvar    | 4.77|011.04752272|-10.60927365|   0.998|
|HIP 14382 |K0II-III    | 4.77|046.38510717|+56.70554810|   1.018|
|HIP 85755 |A0V         | 4.78|262.85396193|-23.96258036|   0.016|
|HIP 40274 |B2ne        | 4.78|123.37301019|-35.89954225|  -0.110|
|HIP 70104 |F0IV        | 4.78|215.17729569|-45.18688140|   0.310|
|HIP 23231 |F0V         | 4.78|074.98213784|-12.53720450|   0.267|
|HIP 17587 |A3V...      | 4.78|056.50971937|+63.34506772|   0.747|
|HIP 26199 |B0.5V       | 4.78|083.76117163|-06.00202867|  -0.248|
|HIP 92024 |A7V         | 4.78|281.36190079|-64.87089771|   0.199|
|HIP 39847 |A2V         | 4.78|122.11459795|+51.50667575|   0.048|
|HIP 64852 |M2III       | 4.78|199.40119538|+05.46984502|   1.638|
|HIP 60351 |F8:p...     | 4.78|185.62632982|+25.84618178|   0.515|
|HIP 4147  |M0III       | 4.78|013.25204382|-01.14422060|   1.550|
|HIP 70306 |K3III       | 4.78|215.77461567|-27.75373395|   1.300|
|HIP 9977  |A5IV-V      | 4.78|032.12144102|+37.85918337|   0.120|
|HIP 110371|B9III       | 4.78|335.33053166|+28.33051592|  -0.010|
|HIP 47758 |A7V+...     | 4.78|146.05054261|-27.76956287|   0.516|
|HIP 110882|K0III       | 4.78|336.96448769|+04.69641070|   1.039|
|HIP 122   |K2III       | 4.78|000.39937928|-77.06529438|   1.254|
|HIP 50564 |F6IV        | 4.78|154.93462599|+19.47143591|   0.452|
|HIP 21029 |A6IV        | 4.78|067.63987124|+16.19407556|   0.170|
|HIP 87294 |A6Ib        | 4.78|267.54629170|-40.09042823|   0.259|
|HIP 9153  |F0V         | 4.79|029.48239763|+23.59609610|   0.290|
|HIP 109908|G8III+...   | 4.79|333.90368669|-41.34675029|   0.790|
|HIP 88149 |B2Ve        | 4.79|270.06582324|+04.36864674|  -0.100|
|HIP 41039 |B1V         | 4.79|125.63207774|-48.49039742|  -0.146|
|HIP 1168  |M2III       | 4.79|003.65045047|+20.20669720|   1.572|
|HIP 99824 |B3V         | 4.79|303.81621226|+25.59196924|  -0.181|
|HIP 77655 |K0III-IV    | 4.79|237.80807231|+35.65822638|   0.996|
|HIP 22678 |K3III       | 4.79|073.15833005|+36.70319636|   1.414|
|HIP 45856 |G6III       | 4.79|140.23679302|-62.40463293|   0.926|
|HIP 64661 |B8V         | 4.79|198.81249082|-67.89456330|  -0.078|
|HIP 80815 |B3V         | 4.79|247.55199128|-25.11515935|  -0.116|
|HIP 87220 |B8Ib/II     | 4.79|267.29363880|-31.70318435|  -0.028|
|HIP 109400|G8III       | 4.79|332.45152906|+72.34119936|   0.919|
|HIP 23364 |B3V         | 4.80|075.35977051|-07.17397802|  -0.164|
|HIP 45493 |A5V         | 4.80|139.04699516|+54.02171207|   0.199|
|HIP 64022 |K5III       | 4.80|196.79461606|+27.62490672|   1.482|
|HIP 79881 |A0V:        | 4.80|244.57467023|-28.61377598|   0.008|
|HIP 112051|A1IV        | 4.80|340.43920724|+29.30768920|  -0.013|
|HIP 69112 |K3III       | 4.80|212.21253759|+77.54743312|   1.368|
|HIP 103089|B5V         | 4.80|313.31143866|+44.38726652|  -0.134|
|HIP 52502 |B5Vn        | 4.80|161.02890478|-63.96110070|  -0.134|
|HIP 20354 |B4IV        | 4.80|065.38811942|+46.49896290|  -0.022|
|HIP 84573 |B1.5Vp      | 4.80|259.33154372|+33.10011419|  -0.166|
|HIP 110672|B1Ve        | 4.80|336.31921857|+01.37739245|  -0.171|
|HIP 71995 |M3III       | 4.80|220.85571623|+26.52789077|   1.672|
|HIP 61394 |A0IV        | 4.80|188.71299083|+22.62918961|   0.012|
|HIP 45038 |F7IV-V      | 4.80|137.59802574|+67.13423886|   0.489|
|HIP 105382|A2p         | 4.80|320.18993153|-40.80950852|   0.029|
|HIP 99639 |A5IIIn      | 4.80|303.32517496|+46.81567038|   0.100|
|HIP 45811 |F5V+...     | 4.80|140.12094162|-09.55562948|   0.913|
|HIP 4151  |F8V         | 4.80|013.26783051|+61.12355735|   0.540|
|HIP 20542 |A7V         | 4.80|066.02372401|+17.44421161|   0.154|
|HIP 69879 |K1III       | 4.80|214.49923373|+35.50947085|   1.057|
|HIP 15197 |A5m         | 4.80|048.95844499|-08.81984050|   0.232|
|HIP 31832 |K3III       | 4.80|099.83261264|+42.48901214|   1.236|
|HIP 3300  |B2.5V       | 4.80|010.51618425|+50.51254151|  -0.105|
|HIP 73568 |K4III       | 4.80|225.52713391|+25.00825646|   1.506|
|HIP 28237 |B1Ib        | 4.81|089.49857371|+25.95391597|  -0.088|
|HIP 55687 |K5III       | 4.81|171.15252245|-10.85938276|   1.556|
|HIP 70755 |G2III       | 4.81|217.05091806|-02.22795009|   0.693|
|HIP 24010 |F2IV        | 4.81|077.42483084|+15.59727157|   0.313|
|HIP 24372 |K2III       | 4.81|078.43927858|-67.18534976|   1.274|
|HIP 24659 |K0/K1III/IV | 4.81|079.37093064|-34.89438961|   0.987|
|HIP 102724|B3Ia        | 4.81|312.23455583|+46.11414081|   0.571|
|HIP 47029 |K0III       | 4.81|143.76605199|+39.62144313|   0.992|
|HIP 39138 |B3V         | 4.81|120.08320513|-63.56750271|  -0.173|
|HIP 101867|A0V         | 4.81|309.63038481|+21.20117964|  -0.030|
|HIP 90289 |A1/A2V      | 4.81|276.33764809|-20.54160918|   1.310|
|HIP 69226 |F9IVw       | 4.82|212.59978522|+25.09182293|   0.541|
|HIP 9095  |G8III       | 4.82|029.29163705|-47.38529869|   0.864|
|HIP 111123|A0IVs       | 4.82|337.66172918|-10.67788619|  -0.053|
|HIP 115022|M2III       | 4.82|349.43590129|+49.01528336|   1.668|
|HIP 83262 |K4III       | 4.82|255.26510631|-04.22245426|   1.483|
|HIP 90344 |K2III       | 4.82|276.49578299|+65.56354628|   1.179|
|HIP 78554 |A3V         | 4.82|240.57370453|+22.80439543|   0.066|
|HIP 36773 |A4Ia        | 4.82|113.44986614|-14.52390109|   1.362|
|HIP 80179 |F0V         | 4.82|245.51850007|+01.02892219|   0.338|
|HIP 60710 |B3Vn        | 4.82|186.63245078|-51.45061150|  -0.141|
|HIP 82321 |A2p...      | 4.82|252.30916380|+45.98344780|   0.087|
|HIP 104019|A5V         | 4.82|316.10135259|-19.85493122|   0.169|
|HIP 92782 |K0III       | 4.82|283.59902616|+71.29708956|   1.151|
|HIP 66458 |A7III       | 4.82|204.36540378|+36.29484073|   0.239|
|HIP 50799 |K1IIIvar    | 4.82|155.58169175|-41.65010791|   1.095|
|HIP 51459 |F8V         | 4.82|157.65735143|+55.98061759|   0.541|
|HIP 116901|G2Ib/II     | 4.82|355.44082263|-17.81653327|   0.822|
|HIP 31827 |K2III       | 4.82|099.81965168|-14.14574673|   1.459|
|HIP 110386|B2IV-V      | 4.82|335.37946377|+12.20517262|  -0.132|
|HIP 24340 |A4m         | 4.82|078.35721486|+38.48467394|   0.189|
|HIP 33092 |B1Ib        | 4.82|103.38712732|-20.22426366|  -0.212|
|HIP 12876 |A2IV/V      | 4.83|041.38555249|-67.61672400|   0.058|
|HIP 35210 |K4III       | 4.83|109.15348700|-23.31560155|   1.601|
|HIP 83574 |B2Iab       | 4.83|256.20562945|-34.12292247|   0.257|
|HIP 93174 |F3IV/V      | 4.83|284.68114151|-37.10708855|   0.396|
|HIP 74449 |B3IV        | 4.83|228.20668641|-44.50035965|  -0.177|
|HIP 4292  |K2III       | 4.83|013.75080422|+58.97279657|   1.216|
|HIP 42726 |B3IV        | 4.83|130.60587670|-53.11404062|  -0.173|
|HIP 63724 |A0V         | 4.83|195.88894965|-49.52723627|   0.029|
|HIP 6813  |F5IV        | 4.83|021.91285470|+45.40695287|   0.421|
|HIP 92088 |K3III       | 4.83|281.51861708|+26.66207055|   1.199|
|HIP 12390 |F5V         | 4.83|039.89054885|-11.87158159|   0.447|
|HIP 40945 |K2/K3III    | 4.83|125.34597645|-33.05437199|   1.419|
|HIP 73695 |G2V + G2V   | 4.83|225.94867417|+47.65401409|   0.647|
|HIP 80704 |M6III:var   | 4.83|247.16052050|+41.88169065|   1.289|
|HIP 93026 |K1III       | 4.83|284.26514217|-05.84621426|   1.057|
|HIP 34495 |B3IV/V      | 4.83|107.21281817|-39.65567374|  -0.179|
|HIP 112203|K0III       | 4.84|340.87486957|-41.41411843|   1.027|
|HIP 42134 |K0III       | 4.84|128.83186765|-58.00929470|   0.981|
|HIP 10644 |G0V         | 4.84|034.26007346|+34.22482985|   0.607|
|HIP 112374|K2IIICNIV   | 4.84|341.40771690|-53.50016316|   1.180|
|HIP 10340 |K4III       | 4.84|033.30558667|+44.23168903|   1.476|
|HIP 37297 |B3V         | 4.84|114.86397492|-38.30806020|  -0.189|
|HIP 26777 |B3IV...     | 4.84|085.32381426|+16.53418318|  -0.125|
|HIP 70027 |K3III       | 4.84|214.93883677|+16.30680118|   1.228|
|HIP 81008 |K4III       | 4.84|248.15165942|+11.48823391|   1.495|
|HIP 19740 |G5III       | 4.84|063.48496228|+09.26389844|   0.799|
|HIP 82020 |F2V         | 4.84|251.32412380|+56.78168723|   0.375|
|HIP 57328 |A4V         | 4.84|176.32085333|+08.25817475|   0.174|
|HIP 7007  |K4III       | 4.84|022.54559597|+06.14393314|   1.372|
|HIP 98353 |G8II/III    | 4.84|299.73823470|-26.19582739|   0.882|
|HIP 114104|B0.5IV      | 4.84|346.65337433|+59.41976474|  -0.060|
|HIP 81660 |K1p         | 4.84|250.22966425|+64.58908555|   1.212|
|HIP 53807 |K1III       | 4.84|165.14016441|+03.61753351|   1.144|
|HIP 15457 |G5Vvar      | 4.84|049.83974536|+03.36997055|   0.681|
|HIP 15416 |K2II        | 4.85|049.68259978|+34.22267370|   1.491|
|HIP 87846 |K2III       | 4.85|269.19760682|-44.34219871|   1.176|
|HIP 49712 |B3IV        | 4.85|152.23439032|-51.81126187|  -0.120|
|HIP 74837 |K2.5III     | 4.85|229.41203255|-63.61048662|   1.260|
|HIP 36431 |A6Ib/II     | 4.85|112.46422560|-23.02429924|   0.243|
|HIP 14862 |A2Vnn       | 4.85|047.98432711|+74.39386878|   0.035|
|HIP 89918 |G8III       | 4.85|275.21692548|+03.37714467|   0.911|
|HIP 93148 |A0V         | 4.85|284.61564682|-52.93860748|  -0.051|
|HIP 64408 |G3V         | 4.85|198.01444495|-37.80313606|   0.693|
|HIP 81122 |B0Ia        | 4.86|248.52091772|-44.04530868|   0.045|
|HIP 91918 |B2V         | 4.86|281.08066463|-35.64192109|  -0.168|
|HIP 94643 |K0/K1III+.. | 4.86|288.88498822|-25.25660677|   0.569|
|HIP 85829 |Am          | 4.86|263.06616249|+55.17280674|   0.279|
|HIP 42483 |G5III       | 4.86|129.92704475|-29.56086189|   0.900|
|HIP 86736 |F6/F7V      | 4.86|265.85772897|-21.68308566|   0.469|
|HIP 101773|Fm delta Del| 4.86|309.39683225|-61.52974415|   0.447|
|HIP 70327 |A0V         | 4.86|215.84475026|+08.44664037|   0.010|
|HIP 109068|K4III       | 4.86|331.41954990|+05.05828453|   1.443|
|HIP 32438 |A3V         | 4.86|101.55896951|+59.44169108|   0.084|
|HIP 2210  |M2/M3III    | 4.86|006.98213606|-33.00704460|   1.634|
|HIP 81497 |M2.5III     | 4.86|249.68703338|+48.92827739|   1.562|
|HIP 80181 |K0III       | 4.86|245.52454222|+30.89173424|   0.970|
|HIP 15382 |K0III       | 4.86|049.59206509|-22.51114978|   0.904|
|HIP 92761 |K1II        | 4.86|283.54239695|-22.74482020|   1.412|
|HIP 51808 |K0III       | 4.86|158.77328496|+75.71298403|   0.957|
|HIP 64820 |K2Ib/II     | 4.86|199.30431246|-66.78342263|   1.480|
|HIP 71832 |G8IIIvar    | 4.86|220.41148550|+08.16175611|   0.992|
|HIP 97290 |K0III       | 4.87|296.59091351|-19.76089482|   1.061|
|HIP 52736 |B3IV        | 4.87|161.71351737|-64.38349702|  -0.149|
|HIP 15110 |A1V         | 4.87|048.72547816|+21.04462873|  -0.007|
|HIP 51979 |M1III       | 4.87|159.30749487|-27.41268661|   1.626|
|HIP 42662 |K0IIICN...  | 4.87|130.43055822|-15.94314865|   1.063|
|HIP 48559 |K2III       | 4.87|148.55182725|-25.93248205|   1.199|
|HIP 19777 |K3III       | 4.87|063.59872149|-10.25588890|   1.156|
|HIP 12093 |G8III       | 4.87|038.96870420|+05.59330163|   0.880|
|HIP 6411  |K0III-IV    | 4.87|020.58497087|+45.52875660|   1.077|
|HIP 34899 |Ap          | 4.87|108.30571289|-45.18252474|  -0.003|
|HIP 106551|K1III       | 4.87|323.69365589|+38.53382684|   1.085|
|HIP 43825 |A3IV        | 4.87|133.88131490|-27.68162589|   0.142|
|HIP 118243|B1V...      | 4.88|359.75220729|+55.75494069|  -0.071|
|HIP 87936 |M0III       | 4.88|269.44919385|-41.71625842|   1.617|
|HIP 25539 |B2.5IV      | 4.88|081.90868350|+21.93698219|  -0.140|
|HIP 11345 |A0V         | 4.88|036.48755111|-12.29045200|  -0.027|
|HIP 94820 |K0III       | 4.88|289.40868994|-18.95288215|   1.013|
|HIP 27468 |G8IIIvar    | 4.88|087.25399777|+24.56755473|   1.021|
|HIP 91845 |G8II        | 4.88|280.88016751|-08.27524299|   1.112|
|HIP 96341 |G9III       | 4.88|293.80414074|-48.09911061|   1.096|
|HIP 61960 |A0V         | 4.88|190.47086482|+10.23584294|   0.076|
|HIP 35412 |O7f         | 4.88|109.66825335|-24.55870761|  -0.160|
|HIP 63462 |K1IIIp      | 4.88|195.06868941|+30.78503676|   1.165|
|HIP 117301|K1III       | 4.88|356.76411116|+58.65185164|   1.122|
|HIP 82860 |F6Vvar      | 4.88|254.00566477|+65.13467204|   0.481|
|HIP 58484 |B9Vn        | 4.88|179.90704708|-78.22181833|  -0.054|
|HIP 118209|G9III       | 4.88|359.66837736|-03.55580738|   0.930|
|HIP 27810 |B5V         | 4.88|088.27868480|-33.80143950|  -0.154|
|HIP 102831|G8III       | 4.89|312.49199793|-33.77967320|   1.004|
|HIP 910   |F5V         | 4.89|002.81628415|-15.46732287|   0.487|
|HIP 57443 |G3/G5V      | 4.89|176.63436255|-40.50133452|   0.664|
|HIP 57851 |B4V         | 4.89|177.96363695|-65.20589445|  -0.123|
|HIP 25302 |B1V:pe      | 4.89|081.18677704|+01.84644611|  -0.200|
|HIP 52009 |C           | 4.89|159.38853109|-13.38445095|   2.800|
|HIP 51523 |F6V         | 4.89|157.84264509|-53.71599280|   0.500|
|HIP 37265 |F3III       | 4.89|114.79148501|+34.58463287|   0.413|
|HIP 83613 |A4IV        | 4.89|256.34441753|+12.74085469|   0.125|
|HIP 97118 |G8III       | 4.89|296.06896508|+37.35426967|   0.948|
|HIP 37908 |K5III       | 4.89|116.53122379|+18.51016877|   1.425|
|HIP 27511 |B9IV        | 4.89|087.38726446|+12.65136584|  -0.068|
|HIP 22453 |K4II        | 4.89|072.47777728|+37.48818131|   1.447|
|HIP 111841|O9V         | 4.89|339.81532883|+39.05028301|  -0.207|
|HIP 115990|B3IV        | 4.89|352.50799782|+58.54890978|  -0.122|
|HIP 62886 |G8III       | 4.89|193.32404513|+21.24502058|   0.904|
|HIP 69896 |A2m...      | 4.89|214.55821047|-81.00760147|   0.243|
|HIP 85819 |Am...       | 4.89|263.04340826|+55.18411077|   0.251|
|HIP 102790|K5III       | 4.90|312.37053840|-46.22689249|   1.494|
|HIP 78821 |B2V         | 4.90|241.36073017|-19.80184191|  -0.024|
|HIP 64583 |F7IV        | 4.90|198.56428372|-59.10285946|   0.489|
|HIP 62683 |B9V         | 4.90|192.67161238|-33.99926779|  -0.031|
|HIP 33485 |A2Vn        | 4.90|104.40468738|+45.09410202|   0.027|
|HIP 78655 |B6III/IV    | 4.90|240.85084398|-38.60247122|  -0.146|
|HIP 80686 |F9V         | 4.90|247.11583852|-70.08467012|   0.555|
|HIP 6670  |K2III       | 4.90|021.40503869|-14.59875437|   1.231|
|HIP 26885 |K1III       | 4.90|085.61943491|+01.47466498|   1.144|
|HIP 3801  |B9III       | 4.90|012.20830552|+50.96819154|  -0.091|
|HIP 97679 |B2.5V       | 4.90|297.76705681|+22.61008676|  -0.153|
|HIP 111310|M4III       | 4.91|338.25005260|-61.98207300|   1.612|
|HIP 66257 |F2IV SB     | 4.91|203.69894294|+37.18243871|   0.404|
|HIP 21139 |K3II-III    | 4.91|067.96945612|-00.04399115|   1.320|
|HIP 98055 |A4Vn        | 4.91|298.90759282|+52.43902327|   0.124|
|HIP 61966 |B6IV        | 4.91|190.48582000|-59.68581085|  -0.044|
|HIP 83608 |F5          | 4.91|256.33409280|+54.46986308|   0.471|
|HIP 12623 |F9V         | 4.91|040.56220350|+40.19438688|   0.582|
|HIP 113186|A1V         | 4.91|343.80676809|+08.81609536|  -0.003|
|HIP 74604 |F3III       | 4.91|228.65552450|-31.51912564|   0.374|
|HIP 81724 |G8II/III    | 4.91|250.39331786|-17.74216462|   1.095|
|HIP 34622 |K0III       | 4.91|107.55700787|-04.23763568|   1.020|
|HIP 34752 |K4II-III    | 4.91|107.91371845|+39.32054373|   1.451|
|HIP 52085 |G8III       | 4.91|159.64588780|-16.87663687|   0.922|
|HIP 30093 |M1III       | 4.91|094.99835160|-02.94449028|   1.613|
|HIP 101101|K2III       | 4.91|307.41232775|-02.88547630|   1.160|
|HIP 23835 |G4V         | 4.91|076.86115023|+18.64500711|   0.657|
|HIP 101692|K5II        | 4.91|309.18177937|-02.54991814|   1.606|
|HIP 23362 |B9V         | 4.91|075.35649111|-20.05188078|  -0.047|
|HIP 73473 |B9.5V       | 4.91|225.24328191|-08.51893488|   0.000|
|HIP 92689 |G8III       | 4.92|283.30642219|+50.70828894|   0.903|
|HIP 66200 |A1p SrCrEu  | 4.92|203.53293870|+03.65902506|   0.029|
|HIP 45439 |K1III       | 4.92|138.90317393|-38.56991789|   1.084|
|HIP 28574 |B5III       | 4.92|090.46010757|-10.59793918|  -0.128|
|HIP 54204 |F3IV/V      | 4.92|166.33346925|-27.29359566|   0.369|
|HIP 28816 |Ap shell    | 4.92|091.24638576|-16.48442713|   0.196|
|HIP 75379 |F5IV        | 4.92|231.04970889|-10.32189476|   0.453|
|HIP 60697 |F0p         | 4.92|186.60030726|+27.26826273|   0.277|
|HIP 88726 |A5V         | 4.92|271.70785224|-43.42496169|   0.255|
|HIP 102388|K2III       | 4.92|311.21884679|+25.27104823|   1.183|
|HIP 72104 |A0V         | 4.92|221.24664628|-35.19182069|   0.013|
|HIP 67480 |K4III       | 4.92|207.42841642|+21.26406422|   1.432|
|HIP 36547 |M4IIIa      | 4.92|112.76866761|+82.41156871|   1.633|
|HIP 90830 |B6IV        | 4.92|277.93931691|-45.91474360|  -0.101|
|HIP 30520 |K5Iabvar    | 4.92|096.22459158|+49.28789903|   1.905|
|HIP 34059 |A4IV        | 4.92|105.97356647|-49.58425759|   0.140|
|HIP 9061  |K3III       | 4.92|029.16732782|-22.52671153|   1.434|
|HIP 89861 |M1III       | 4.92|275.07459830|+21.96144090|   1.594|
|HIP 37609 |A3IVn       | 4.93|115.75190700|+58.71048707|   0.104|
|HIP 63503 |F2V         | 4.93|195.18160731|+56.36633134|   0.368|
|HIP 19515 |A9V         | 4.93|062.71013758|-41.99374121|   0.334|
|HIP 59847 |K0III       | 4.93|184.08564668|+23.94542332|   0.957|
|HIP 99303 |B2.5V       | 4.93|302.35673642|+36.83959003|  -0.139|
|HIP 102571|K3IIIvar    | 4.93|311.79468503|+34.37410329|   1.294|
|HIP 96483 |B0.5III     | 4.93|294.22270240|-07.02747069|  -0.046|
|HIP 99120 |M1II        | 4.93|301.84653576|-52.88080972|   1.591|
|HIP 73996 |F5V         | 4.93|226.82477948|+24.86959294|   0.429|
|HIP 99770 |A2V         | 4.93|303.63326032|+36.80613540|   0.151|
|HIP 114939|M3III       | 4.93|349.21229368|-07.72646619|   1.613|
|HIP 56280 |F8V         | 4.93|173.06840611|-29.26137351|   0.540|
|HIP 43937 |B2IV-V      | 4.93|134.24344613|-59.22935883|  -0.182|
|HIP 23179 |A1V         | 4.93|074.81406425|+37.89048240|   0.037|
|HIP 69269 |M1III       | 4.93|212.71034788|-16.30200362|   1.684|
|HIP 56986 |G3Ib        | 4.93|175.22355273|-62.09010401|   1.111|
|HIP 79375 |A3IV        | 4.93|243.00000648|-10.06418514|   0.087|
|HIP 47592 |G0V         | 4.93|145.56113137|-23.91620867|   0.534|
|HIP 62763 |G0III       | 4.93|192.92469926|+27.54073393|   0.681|
|HIP 72631 |G8...       | 4.93|222.75425052|-02.29884995|   0.988|
|HIP 20252 |G8III       | 4.93|065.10273351|+34.56674228|   0.950|
|HIP 117073|K0III       | 4.93|355.99765846|+29.36155278|   0.935|
|HIP 39079 |K2III       | 4.93|119.93410303|-03.67957835|   1.205|
|HIP 36942 |K3III       | 4.93|113.91541745|-52.53380809|   1.373|
|HIP 19990 |A3m         | 4.93|064.31535896|+20.57874033|   0.259|
|HIP 101138|B2.5IV      | 4.94|307.51471567|+48.95155039|  -0.087|
|HIP 51495 |K4/K5III    | 4.94|157.75864399|-73.22150890|   1.677|
|HIP 33357 |M1III       | 4.94|104.06662140|-48.72116448|   1.668|
|HIP 43347 |A2III       | 4.94|132.44853466|-45.30790977|   0.043|
|HIP 109422|F6V         | 4.94|332.53534803|-32.54844042|   0.489|
|HIP 64166 |K0III       | 4.94|197.26367917|-23.11797275|   1.048|
|HIP 35727 |B5II/III    | 4.94|110.55637515|-19.01658444|  -0.039|
|HIP 48615 |K5III       | 4.94|148.71765461|-19.00926985|   1.559|
|HIP 99742 |A2V         | 4.94|303.56910667|+15.19746767|   0.072|
|HIP 39424 |K2III       | 4.94|120.87957982|+27.79441794|   1.130|
|HIP 10280 |F5V comp SB | 4.94|033.09301632|+30.30321507|   0.770|
|HIP 93279 |K3III       | 4.94|285.00342257|+32.14549051|   1.465|
|HIP 13905 |K2III       | 4.94|044.76545740|+35.18311415|   1.235|
|HIP 64540 |K0III       | 4.94|198.42908954|+40.15284766|   1.061|
|HIP 50933 |A0sp...     | 4.94|156.03274518|+65.56647366|  -0.052|
|HIP 80650 |A0III       | 4.94|246.99605488|+68.76805491|  -0.051|
|HIP 26736 |B2IV-V      | 4.95|085.21131577|-01.12878569|  -0.197|
|HIP 61384 |K2III       | 4.95|188.68360523|+70.02177318|   1.312|
|HIP 117245|C5II        | 4.95|356.59807048|+03.48687164|   2.508|
|HIP 18505 |B9.5V       | 4.95|059.35598140|+63.07224944|  -0.074|
|HIP 3414  |A5V         | 4.95|010.86704470|+47.02463657|   0.170|
|HIP 112917|M0III       | 4.95|343.00811365|+43.31236494|   1.559|
|HIP 79509 |G4III       | 4.95|243.36972631|-54.63041289|   1.017|
|HIP 98068 |B5IV        | 4.95|298.96567172|+38.48670392|  -0.086|
|HIP 98608 |M6III       | 4.95|300.43634274|-59.37582804|   1.356|
|HIP 55945 |G8II-III    | 4.95|171.98429124|+02.85629071|   1.000|
|HIP 6242  |F0Ia        | 4.95|020.02049027|+58.23161610|   0.683|
|HIP 79822 |F5V         | 4.95|244.37708768|+75.75470385|   0.393|
|HIP 115738|A0p         | 4.95|351.73293881|+01.25583758|   0.036|
|HIP 78207 |B8Ia/Iab    | 4.95|239.54740116|-14.27931773|  -0.080|
|HIP 29434 |B5Vn        | 4.95|093.01365054|+16.13044684|  -0.149|
|HIP 7818  |B8III       | 4.96|025.14501739|+40.57710624|  -0.068|
|HIP 78180 |F0IV        | 4.96|239.44830388|+54.74950359|   0.269|
|HIP 89153 |K0III       | 4.96|272.93053328|-23.70116777|   1.055|
|HIP 89172 |M3III       | 4.96|272.97569523|+31.40528840|   1.643|
|HIP 27949 |A2V         | 4.96|088.71160776|+55.70690490|   0.052|
|HIP 11918 |B9V         | 4.96|038.46130170|-28.23234010|  -0.050|
|HIP 20877 |K2IIIvar    | 4.96|067.10985479|+16.35962902|   1.137|
|HIP 67494 |K0III       | 4.96|207.46810200|-18.13407618|   1.059|
|HIP 15648 |A3V         | 4.96|050.36086309|+43.32965174|   0.051|
|HIP 7918  |G2V         | 4.96|025.44381547|+42.61380692|   0.618|
